id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
56,3.332237701,0.5,0.01,"['6691', '3814', '3111', '3181', '6676', '3142']",1.445923016,Jungle,"[8008, 9111, 9104, 8014, 8143, 8106]",8.996361569
20,4.881126611,0.53,0.06,"['3068', '3742', '3047', '3075', '3065', '3143']",0.9698538,Jungle,"[8230, 8275, 8234, 8232, 9111, 9104]",7.787677167
2,3.577912787,0.51,0.12,"['6630', '3047', '3053', '6333', '3065', '3071']",1.44349147,Jungle,"[8010, 9111, 9104, 8299, 8304, 8410]",8.49548258
61,3.79620834,0.48,0,"['6655', '3020', '3157', '3165', '3089', '3135']",5.947669947,Middle,"[8230, 8226, 8210, 8237, 8345, 8352]",10.85109643
516,3.351621035,0.5,0.01,"['3068', '3047', '3075', '3001', '3143', '3083']",5.450527865,Top,"[8437, 8446, 8473, 8451, 8345, 8347]",9.632434476
80,3.091166545,0.49,0.09,"['6692', '3047', '3071', '3053', '6333', '3179']",2.916546449,Support,"[8005, 9111, 9105, 8014, 8126, 8105]",15.37145807
78,3.346521725,0.49,0,"['3068', '3047', '3075', '3742', '4401', '3143']",3.856018293,Top,"[8437, 8401, 8473, 8453, 8345, 8352]",11.13309002
555,2.990333305,0.47,0.07,"['6691', '3117', '3142', '3179', '3814', '3026']",1.676426085,Support,"[9923, 8126, 8138, 8106, 8444, 8242]",25.24971231
246,2.893689058,0.44,0,"['6692', '3142', '3814', '3117', '3179', '6676']",4.90432125,Middle,"[8112, 8143, 8138, 8135, 8345, 8352]",10.56172316
133,2.536131807,0.51,0.01,"['6672', '3006', '3181', '3095', '6676', '3031']",5.345155137,Top,"[8005, 9101, 9104, 8017, 8139, 8135]",9.645904954
497,3.995987072,0.48,0,"['2065', '3117', '3050', '3107', '3504', '6616']",1.251192056,Support,"[8465, 8463, 8473, 8242, 8136, 8106]",28.66942149
33,4.142426773,0.52,0.07,"['3068', '3075', '3047', '3742', '3001', '3143']",0.832221685,Jungle,"[8439, 8463, 8429, 8242, 9111, 9104]",8.179331796
421,3.290344055,0.47,0,"['6693', '3047', '3814', '3053', '3071', '3026']",0.71039034,Jungle,"[8010, 9111, 9104, 8014, 8275, 8232]",8.284350877
526,3.214335235,0.51,0.02,"['3190', '3047', '3050', '3075', '3109', '3742']",1.354557695,Support,"[8439, 8463, 8429, 8451, 9111, 9105]",23.36769376
58,2.734693392,0.48,0.05,"['6630', '3047', '3071', '3053', '3153', '6333']",6.30974823,Top,"[8005, 9111, 9104, 8299, 8446, 8473]",9.696518281
107,3.078889864,0.46,0.02,"['6692', '6676', '3047', '3508', '3074', '3142']",1.813967739,Jungle,"[8010, 9111, 9104, 8014, 8143, 8135]",8.413288176
92,2.595751607,0.47,0.01,"['6630', '3074', '3047', '3071', '6333', '3053']",5.914892164,Top,"[8010, 9111, 9104, 8299, 8210, 8236]",9.284499011
68,3.16610815,0.48,0,"['4636', '3020', '3157', '3165', '4637', '3116']",5.384162395,Top,"[8229, 8275, 8234, 8237, 8139, 8135]",10.01592719
13,2.630390874,0.45,0,"['6655', '3020', '3157', '3089', '3165', '3135']",6.469204293,Middle,"[8230, 8226, 8210, 8236, 8139, 8135]",10.58354252
360,2.994870145,0.47,0.5,"['6673', '3006', '6676', '3072', '3031', '3508']",6.057513466,Bottom,"[8010, 8009, 9103, 8014, 8139, 8135]",9.778817524
113,4.670985485,0.49,0,"['3068', '3047', '3075', '3083', '3001', '3143']",0.988506325,Jungle,"[8439, 8463, 8429, 8451, 9111, 9104]",9.391689498
