id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
234,2.834494951,0.47,0.13,"['6672', '3153', '3111', '6676', '3053', '6333']",2.583204554,Jungle,"[8010, 9111, 9104, 8014, 8143, 8135]",9.132404733
112,3.396050725,0.51,0.01,"['6655', '3020', '3100', '3157', '3089', '3165']",6.073481729,Middle,"[8230, 8226, 8210, 8237, 8139, 8135]",10.54692017
8,3.180706896,0.49,0.11,"['3152', '3020', '3089', '3157', '4629', '3041']",6.188197938,Middle,"[8230, 8275, 8210, 8236, 8304, 8347]",9.454889611
106,3.482932734,0.51,0.03,"['3068', '3047', '3075', '3065', '3742', '3053']",3.637086734,Jungle,"[8005, 9111, 9105, 8299, 8275, 8232]",9.392882859
19,3.398579244,0.5,0.01,"['3068', '3047', '3748', '3075', '3065', '3053']",1.448695892,Jungle,"[8005, 9111, 9104, 8299, 8234, 8232]",8.533216433
498,3.17196434,0.47,0,"['6671', '3006', '3508', '3031', '3094', '6675']",6.199474179,Bottom,"[8008, 8009, 9103, 8014, 8275, 8236]",10.35796887
101,4.171798288,0.51,0.01,"['6655', '3020', '4628', '3089', '3157', '3165']",3.727099489,Support,"[8229, 8226, 8210, 8237, 8009, 8014]",16.62857143
5,2.916042883,0.48,0,"['3078', '3047', '3153', '3053', '6333', '3091']",1.521442014,Jungle,"[9923, 8143, 8138, 8105, 9111, 9104]",9.267718754
157,2.318127749,0.47,0.29,"['6673', '3006', '3031', '3046', '3072', '3033']",6.272186934,Middle,"[8010, 9111, 9104, 8014, 8139, 8135]",9.509842179
777,2.560050236,0.48,0.32,"['6673', '3006', '3031', '3072', '3046', '3033']",5.890554057,Middle,"[8010, 9111, 9104, 8014, 8139, 8135]",9.466442454
83,2.78294484,0.52,0,"['6632', '3047', '3053', '3742', '3065', '3075']",6.374487251,Top,"[8010, 9111, 9105, 8299, 8446, 8473]",9.250588073
350,6.415165524,0.49,0.23,"['6617', '3504', '6616', '3222', '3107', '3041']",0.228090262,Support,"[8214, 8226, 8210, 8237, 8009, 8017]",18.23262863
154,5.368036894,0.5,0.02,"['3068', '3075', '3065', '3047', '3083', '3143']",1.000303425,Jungle,"[8439, 8463, 8429, 8453, 8304, 8347]",9.17443142
238,3.177156139,0.5,0.48,"['6692', '3142', '3111', '3814', '6694', '3071']",5.626910054,Middle,"[8112, 8139, 8138, 8106, 8210, 8237]",10.04734243
115,3.442834519,0.5,0,"['6655', '3020', '3157', '3165', '3089', '4628']",5.702071817,Middle,"[8229, 8226, 8210, 8237, 8345, 8347]",11.46444415
26,4.48972013,0.52,0,"['4005', '3158', '3157', '3011', '3165', '3102']",1.666778378,Support,"[8214, 8226, 8234, 8232, 8126, 8105]",23.87130591
142,3.48509546,0.47,0.01,"['6655', '3020', '4628', '3157', '3089', '3165']",5.149606746,Middle,"[8112, 8139, 8138, 8135, 8345, 8352]",11.42811028
143,2.867840698,0.51,0.01,"['6653', '3020', '3157', '3165', '3116', '4637']",1.479693539,Support,"[8229, 8226, 8210, 8237, 8139, 8105]",28.3958922
