id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
120,3.921715868,0.51,0.07,"['3078', '3047', '3053', '6333', '3742', '3065']",0.881123556,Jungle,"[8010, 9111, 9104, 8014, 8143, 8135]",7.538167939
74,2.634827331,0.51,0.02,"['6653', '3020', '3157', '3165', '3089', '3116']",4.711932642,Middle,"[8229, 8226, 8210, 8237, 8139, 8135]",8.309364417
420,2.533593919,0.51,0.19,"['6630', '3047', '3053', '6333', '3071', '3065']",5.505464349,Top,"[8010, 8009, 9105, 8299, 8139, 8135]",7.591612421
39,2.483657287,0.45,0.04,"['3078', '3153', '3047', '3053', '6333', '3091']",5.864473455,Top,"[8010, 9111, 9104, 8299, 8345, 8352]",8.167105902
427,4.217308589,0.49,0,"['6617', '6616', '3117', '3504', '3107', '3041']",0.576635572,Jungle,"[8214, 8275, 8210, 8232, 8321, 8347]",8.488649051
40,4.100701701,0.51,0,"['4005', '3117', '3504', '6616', '3107', '3222']",0.67205947,Support,"[8229, 8226, 8234, 8237, 8139, 8105]",20.25018278
59,4.08453045,0.49,0,"['6630', '3047', '3071', '3053', '3075', '3748']",1.182963832,Jungle,"[8010, 9111, 9104, 8014, 8143, 8105]",8.66497528
24,2.581925576,0.5,0.14,"['3078', '3153', '3047', '3053', '6333', '3124']",2.60888259,Jungle,"[8010, 9111, 9104, 8014, 8143, 8135]",8.298654849
126,2.912667214,0.48,0,"['6692', '3142', '3047', '3071', '3814', '6676']",4.885683544,Top,"[8010, 8009, 9104, 8299, 8304, 8345]",8.365331318
202,4.09099731,0.51,0.23,"['6671', '3009', '6676', '3094', '3031', '3095']",4.950319045,Bottom,"[8128, 8139, 8138, 8135, 8009, 9103]",7.959904829
222,3.415735648,0.5,0.02,"['6672', '3006', '3085', '3031', '3094', '3072']",4.840133659,Bottom,"[8008, 9111, 9103, 8014, 8275, 8236]",7.76977459
145,3.499217232,0.5,0.06,"['6672', '3006', '3085', '6676', '3031', '3124']",5.232949468,Bottom,"[9923, 8139, 8138, 8135, 8009, 9103]",8.458879242
429,2.992831297,0.45,0,"['6673', '3006', '3085', '3153', '3072', '3124']",4.911410232,Bottom,"[9923, 8139, 8138, 8135, 9111, 9104]",7.977463713
